iften;@titenos;1476569784;Mauvais garçon de booba c'est puissant on dirait presque du Rohff;0;1;0;
Tu me déranges trop;@Mllnv_;1476567693;Booba mais Rohff aussi c'est un bon https://twitter.com/rajvosa_/status/787384458949320704 …;1;1;0;
Khadi;@AybKhadi;1476562591;Quand je passe d'un gros son de Booba ou Rohff à sourate Al Kahf récitée par Maher El Mueqaly comment je suis dans le mal;0;1;8;
Zam's;@Zamseuh;1476554422;Les mecs qui te disent rohff > Booba ils connaissen... — Ça depend http://curiouscat.me/318569379/post/32517238 …;0;0;0;
sylla younouss;@SyYounoussou;1476550634;@anarcissic @fan2ballon Booba a apporté quoi aux jeunes, son message c'est quoi? Rohff il a ces travers mais il a apporté sa pierre au rap;1;1;0;
Spooky VNR Anto-Wan;@AntoWanN7;1476531730;#NowPlaying C'est nous la rue de Booba, Rohff, Rim'K ♫ http://spoti.fi/2dWKBx5 ;0;0;0;
️;@_Eliasok;1476526684;Sch Lacrim Booba Rohff ect.. J’arrive plus à ecouter depuis j'ai découvert PNL wallah je saigne h24 les même sons et j'en ai pas marre;1;29;18;
La mala non merce .;@Krystel_Alnz;1476526121;Kaaris Booba Rohff YEURME;0;0;0;
klaw juice  🍊;@Sco0oba;1476512262;Rohff il di que Booba fait pas croquer mais regarder tt les feat que Booba a fait a votre avis qui a fait plus de feat ?;0;0;0;
#RPD;@NfanssPda;1476494470;Kaaris, La fouine, Rohff & Booba c'est vraiment les meilleur rappeur de France j'crois;0;3;1;
Truand 2 la galère;@YahBerberBoy;1476488984;J'ai jamais vraiment aimé Booba, c'est à cause de Sam si j'ecoute ses sons depuis peu de temps mais soyons honnête, Rohff fais pas le poids.;0;0;0;
Mel;@_ysmel;1476480168;Rohff il a toujours fumé Booba c pas mtn que ca va changer;0;5;3;
Amine Al-Manzo;@AlmanzoQ;1476475750;Rohff ou Booba Préférence . — Booba http://curiouscat.me/AlmanzoQ/post/32199409 …;0;0;0;
Sangohu;@hugojllrd5;1476470254;qui srappelle du "clash" Rohff La Fouine VS Booba mdr;1;5;1;
️ 💭;@99KOPP;1476470174;lannee derniere ct tlmt bien les clash ds le rap avec booba dam16 et Rohff;0;0;0;
Phâéris;@SteveFrc;1476467378;ya kmoi qui pense rohff>>booba;2;3;2;
Eternel Insatisfait;@RayanTmts;1476462626;@DylanDaoudi je peux pas parler avec quelqu'un comme toi qui connaît Rohff depuis PDRG et Booba depuis NeroNemesis;1;1;1;
Tekkai Banchō - 番長;@Sencho_o;1476460955;Rohff et booba ils fontndes morceau que tout le monde oublie en 2 jours mais on doit les respecter comme Wolfgang Amadaeus Mozart ? Ok;1;6;0;
Eternel Insatisfait;@RayanTmts;1476460772;Mais ma parole que Rohff et Booba c'est incomparable, déjà au niveau de vécu, au niveau des classiques, et des paroles, Rohff est au dessus;1;1;3;
Aboudouflich;@Wa_Le_Gars;1476460076;Testament de @rohff baise toute la carriere a @booba;0;6;5;
Kheops;@zeuseed;1476452185;Quand rohff pensais pouvoir battre booba pic.twitter.com/mRwqBeO2QW;0;2;0;
Me Against World;@AllEyesOnMePac;1476447758;Mdr ici quand tu critique Booba il te disent " T dur " mais si tu le fait avec Rohff ca va te repondre avec des " Mdddddr il es fini lui ";0;16;9;
Tya compris;@kosbyguiiri;1476433544;La plupart des meuf kiff booba depuis rohff il a sorti starfukeuze;0;2;0;
RS9;@Raaayou;1476425994;PTDRRRRR comparer rohff booba et mister you à l'ancienne, jvs ldis les classiques de rohff sont au dessus https://twitter.com/kxmyl/status/782714315568779266 …;1;0;0;
Flo Da Truth;@OnlySweetTruth;1476403544;#OnVousRemetCa Artiste qui rappe sur le plus de thème, avec le plus de flow, avec la meilleure plume ? @booba #TeamBooba @rohff #TeamRohff;3;4;3;
Carson;@UnEnfantdAdam;1476394059;Copé Sarkozy c'est Rohff Booba ptdr;0;1;1;
Stringer bell;@EtienneBaRiley;1476393587;En vrai c'est impossible de faire top 5 ni chez booba, ni chez rohff, trop de classique mais encore plus chez rohff.;1;0;0;
tgy;@TGY610;1476392468;Qui se rappelle quand Morsay il a sorti Wesh bout d'bois il a cru il allait s'incruster dans le clash Booba/Rohff personne l'a calculé;0;9;0;
Venom-Amg;@Venom93300;1476391232;eh @booba vasy parle a tes fans la c toi le responsable de sa folie, meme toi tu peux pas le laisser croire que "92iVeyron> Rohff" serieux https://twitter.com/FloZer92/status/786666389293699072 …;2;23;10;
Ralis Rapta;@yann_djm;1476389452;Rohff >Booba en vérité;3;1;1;
