Ian Dumphreys;@dumphreys;1476032201;Soursop Leaves Kill Cancer Cells 1,000 Times Faster Than Chemo: Soursop, or also known as Graviola, is the fr... http://bit.ly/2e1Ghww ;0;0;0;
Costavolcano Chile;@CostavolcanoLab;1476027595;#Graviola #FormulaC #TratamientoInterativo #Costavolcano #QuimioterapiaNatural #cancer... http://fb.me/4ukVTjidh ;0;0;0;
Costavolcano Chile;@CostavolcanoLab;1476025454;#Graviola pura contra el #cancer #Costavolcano http://costavolcano.bootic.net/products/Graviola … http://fb.me/8ckvgG7cn ;0;0;0;
Marcelo Amorim;@marcelo_amordim;1475965147;@Jesse_217 @brunofaked pro vídeo ficar mais feio só o palhaço falar q graviola cura o câncer e quimioterapia é td mentira;0;0;2;
Graviola Trees;@GraviolaTrees;1475938975;Testimonial: "To all those out there fighting cancer, I am proof that graviola works. May 2011 I was diagnosed... http://fb.me/8gebH8yxW ;0;0;0;
Forever Living;@Forever_ch;1475933651;Graviola o Guanábana – La Fruta qué cura El Cáncer.-: Árbol pequeño que llega a alcanzar… http://goo.gl/fb/M4eynm ;0;0;0;
iri hodgson;@IriHodgson;1475892921;Graviola | Soursop | Fruit - A Natural Cancer Cell Killer | presented by... https://youtu.be/LICiOm7xbzs  via @YouTube;0;0;0;
Laboratorio El Mana;@Lab_ElMana;1475682948;Prevenir el cáncer de mama esta en tus manos, la Graviola es un alimento nutritivo, rico en vitaminas, minerales,... http://fb.me/1zO2kRWKu ;0;1;1;
Juares Calado;@Juares_Calado;1475526745;Tenho um pé igual no meu quintal. Aproveitando a deixa, indicio suco de graviola e jabuticaba com casca, para combater câncer de próstata. https://twitter.com/cynaramenezes/status/783039200962678784 …;0;1;4;
Graviola Trees;@GraviolaTrees;1475507059;PubMed: Graviola's Anti cancer activity, an exciting medicinal plant extract vs various cancer cell lines and a... http://fb.me/1C1DjK6U7 ;0;0;0;
IDECO terapias;@idecoterapias;1475426164;GOD'S FOOD, GRAVIOLA CURES CANCER http://pinterest.com/pin/316729786278367664/ …;0;0;0;
Costavolcano Chile;@CostavolcanoLab;1475287259;#Graviola contra el #cancer #Costavolcano #quimioterapiaNAtural #tratamientoIntegrativo #FormulaC... http://fb.me/7BxBudXwZ ;0;0;0;
Saúde Pelas Plantas;@Saudepelasplant;1475173970;Adicionei um vídeo a uma playlist @YouTube http://youtu.be/76WHt1ecS14?aSa úde Pelas Plantas - Graviola [câncer, diabetes, hipertensão,;0;0;0;
sunflowerdance;@paramofsunflowe;1475125629;Happy news ! My good friend who was making sour sop or graviola juice for cancer patients, has now expended his... http://fb.me/7OHzoJmEk ;0;0;0;
Jmarie brock;@ciivitas;1475117214;Soursop (Graviola) for Anti-Cancer: The Truth About this Amazon Rainfore... https://youtu.be/BDOfXC_r_cU  via @YouTube;0;0;0;
Naty J.;@Spikerix;1475083551;@Noticiero9 Muy bueno el informe sobre la #graviola, la planta q curó a mi mamá del cáncer junto con la moringa :D ojalá lo suban a su web.;0;0;0;
Naty J.;@Spikerix;1475082915;@Noticiero9 Muy bueno el informe sobre la #graviola, planta q curó a mi mamá del cáncer y desde entonces siempre la recomiendo, súbanlo plis;0;0;0;
Pekinha;@Pekasabe;1475079073;@nevesvictor @SAULODURANS mamae é assim sai pesquisa q graviola previne cancer : ela compra 134 polpas e planta um pé;1;0;2;
